Box,box_trail,vial_check,Vial_number,Date,Date2,Year,Month,Day,Campaign,Site,Zone,Water,Sampler,Repl,Depth,Analysis,Vial_ID
7,1,,385,2/10/2023,44967,2023,2,10,MonMon,OWC,W,PW,Sip,A,10,Nutrients,7_1__385_02/10/2023_2023_MonMon_OWC_W_PW_Sip_A_10_Nutrients
7,2,,386,2/10/2023,44967,2023,2,10,MonMon,OWC,W,PW,Sip,A,20,Nutrients,7_2__386_02/10/2023_2023_MonMon_OWC_W_PW_Sip_A_20_Nutrients
7,3,,387,2/10/2023,44967,2023,2,10,MonMon,OWC,W,PW,Sip,A,45,Nutrients,7_3__387_02/10/2023_2023_MonMon_OWC_W_PW_Sip_A_45_Nutrients
7,4,,388,2/10/2023,44967,2023,2,10,MonMon,OWC,W,PW,Sip,B,10,Nutrients,7_4__388_02/10/2023_2023_MonMon_OWC_W_PW_Sip_B_10_Nutrients
7,5,,389,2/10/2023,44967,2023,2,10,MonMon,OWC,W,PW,Sip,B,20,Nutrients,7_5__389_02/10/2023_2023_MonMon_OWC_W_PW_Sip_B_20_Nutrients
7,6,,390,2/10/2023,44967,2023,2,10,MonMon,OWC,W,PW,Sip,B,45,Nutrients,7_6__390_02/10/2023_2023_MonMon_OWC_W_PW_Sip_B_45_Nutrients
7,7,,391,2/10/2023,44967,2023,2,10,MonMon,OWC,W,PW,Sip,C,10,Nutrients,7_7__391_02/10/2023_2023_MonMon_OWC_W_PW_Sip_C_10_Nutrients
7,8,,392,2/10/2023,44967,2023,2,10,MonMon,OWC,W,PW,Sip,C,20,Nutrients,7_8__392_02/10/2023_2023_MonMon_OWC_W_PW_Sip_C_20_Nutrients
7,9,,393,2/10/2023,44967,2023,2,10,MonMon,OWC,W,PW,Sip,C,45,Nutrients,7_9__393_02/10/2023_2023_MonMon_OWC_W_PW_Sip_C_45_Nutrients
7,11,,394,2/10/2023,44967,2023,2,10,MonMon,OWC,TR,PW,Lys,A,10,Nutrients,7_11__394_02/10/2023_2023_MonMon_OWC_TR_PW_Lys_A_10_Nutrients
7,12,,395,2/10/2023,44967,2023,2,10,MonMon,OWC,TR,PW,Lys,A,20,Nutrients,7_12__395_02/10/2023_2023_MonMon_OWC_TR_PW_Lys_A_20_Nutrients
7,13,,396,2/10/2023,44967,2023,2,10,MonMon,OWC,TR,PW,Lys,A,45,Nutrients,7_13__396_02/10/2023_2023_MonMon_OWC_TR_PW_Lys_A_45_Nutrients
7,14,,397,2/10/2023,44967,2023,2,10,MonMon,OWC,TR,PW,Lys,B,10,Nutrients,7_14__397_02/10/2023_2023_MonMon_OWC_TR_PW_Lys_B_10_Nutrients
7,15,,398,2/10/2023,44967,2023,2,10,MonMon,OWC,TR,PW,Lys,B,20,Nutrients,7_15__398_02/10/2023_2023_MonMon_OWC_TR_PW_Lys_B_20_Nutrients
7,16,,399,2/10/2023,44967,2023,2,10,MonMon,OWC,TR,PW,Lys,B,45,Nutrients,7_16__399_02/10/2023_2023_MonMon_OWC_TR_PW_Lys_B_45_Nutrients
7,17,,400,2/10/2023,44967,2023,2,10,MonMon,OWC,TR,PW,Lys,C,10,Nutrients,7_17__400_02/10/2023_2023_MonMon_OWC_TR_PW_Lys_C_10_Nutrients
7,18,,401,2/10/2023,44967,2023,2,10,MonMon,OWC,TR,PW,Lys,C,20,Nutrients,7_18__401_02/10/2023_2023_MonMon_OWC_TR_PW_Lys_C_20_Nutrients
7,19,,402,2/10/2023,44967,2023,2,10,MonMon,OWC,TR,PW,Lys,C,45,Nutrients,7_19__402_02/10/2023_2023_MonMon_OWC_TR_PW_Lys_C_45_Nutrients
7,21,,403,2/10/2023,44967,2023,2,10,MonMon,OWC,UP,PW,Lys,A,10,Nutrients,7_21__403_02/10/2023_2023_MonMon_OWC_UP_PW_Lys_A_10_Nutrients
7,23,,404,2/10/2023,44967,2023,2,10,MonMon,OWC,UP,PW,Lys,A,45,Nutrients,7_23__404_02/10/2023_2023_MonMon_OWC_UP_PW_Lys_A_45_Nutrients
7,24,,405,2/10/2023,44967,2023,2,10,MonMon,OWC,UP,PW,Lys,B,10,Nutrients,7_24__405_02/10/2023_2023_MonMon_OWC_UP_PW_Lys_B_10_Nutrients
7,25,,406,2/10/2023,44967,2023,2,10,MonMon,OWC,UP,PW,Lys,B,20,Nutrients,7_25__406_02/10/2023_2023_MonMon_OWC_UP_PW_Lys_B_20_Nutrients
7,27,,407,2/10/2023,44967,2023,2,10,MonMon,OWC,UP,PW,Lys,C,10,Nutrients,7_27__407_02/10/2023_2023_MonMon_OWC_UP_PW_Lys_C_10_Nutrients
7,28,,408,2/10/2023,44967,2023,2,10,MonMon,OWC,UP,PW,Lys,C,20,Nutrients,7_28__408_02/10/2023_2023_MonMon_OWC_UP_PW_Lys_C_20_Nutrients
7,29,,409,2/10/2023,44967,2023,2,10,MonMon,OWC,UP,PW,Lys,C,45,Nutrients,7_29__409_02/10/2023_2023_MonMon_OWC_UP_PW_Lys_C_45_Nutrients
7,31,,410,2/10/2023,44967,2023,2,10,MonMon,OWC,TR,RZ,Rz,1,,Nutrients,7_31__410_02/10/2023_2023_MonMon_OWC_TR_RZ_Rz_1__Nutrients
7,32,,411,2/10/2023,44967,2023,2,10,MonMon,OWC,TR,RZ,Rz,2,,Nutrients,7_32__411_02/10/2023_2023_MonMon_OWC_TR_RZ_Rz_2__Nutrients
7,33,,412,2/10/2023,44967,2023,2,10,MonMon,OWC,TR,RZ,Rz,3,,Nutrients,7_33__412_02/10/2023_2023_MonMon_OWC_TR_RZ_Rz_3__Nutrients
7,34,,413,2/10/2023,44967,2023,2,10,MonMon,OWC,TR,RZ,Rz,4,,Nutrients,7_34__413_02/10/2023_2023_MonMon_OWC_TR_RZ_Rz_4__Nutrients
7,35,,414,2/10/2023,44967,2023,2,10,MonMon,OWC,TR,RZ,Rz,5,,Nutrients,7_35__414_02/10/2023_2023_MonMon_OWC_TR_RZ_Rz_5__Nutrients
7,36,,415,2/10/2023,44967,2023,2,10,MonMon,OWC,TR,RZ,Rz,6,,Nutrients,7_36__415_02/10/2023_2023_MonMon_OWC_TR_RZ_Rz_6__Nutrients
7,37,,416,2/10/2023,44967,2023,2,10,MonMon,OWC,TR,RZ,Rz,7,,Nutrients,7_37__416_02/10/2023_2023_MonMon_OWC_TR_RZ_Rz_7__Nutrients
7,38,,417,2/10/2023,44967,2023,2,10,MonMon,OWC,TR,RZ,Rz,8,,Nutrients,7_38__417_02/10/2023_2023_MonMon_OWC_TR_RZ_Rz_8__Nutrients
7,41,,418,2/10/2023,44967,2023,2,10,MonMon,OWC,UP,RZ,Rz,1,,Nutrients,7_41__418_02/10/2023_2023_MonMon_OWC_UP_RZ_Rz_1__Nutrients
7,42,,419,2/10/2023,44967,2023,2,10,MonMon,OWC,UP,RZ,Rz,2,,Nutrients,7_42__419_02/10/2023_2023_MonMon_OWC_UP_RZ_Rz_2__Nutrients
7,43,,420,2/10/2023,44967,2023,2,10,MonMon,OWC,UP,RZ,Rz,3,,Nutrients,7_43__420_02/10/2023_2023_MonMon_OWC_UP_RZ_Rz_3__Nutrients
7,44,,421,2/10/2023,44967,2023,2,10,MonMon,OWC,UP,RZ,Rz,4,,Nutrients,7_44__421_02/10/2023_2023_MonMon_OWC_UP_RZ_Rz_4__Nutrients
7,45,,422,2/10/2023,44967,2023,2,10,MonMon,OWC,UP,RZ,Rz,5,,Nutrients,7_45__422_02/10/2023_2023_MonMon_OWC_UP_RZ_Rz_5__Nutrients
7,46,,423,2/10/2023,44967,2023,2,10,MonMon,OWC,UP,RZ,Rz,6,,Nutrients,7_46__423_02/10/2023_2023_MonMon_OWC_UP_RZ_Rz_6__Nutrients
7,48,,424,2/10/2023,44967,2023,2,10,MonMon,OWC,UP,RZ,Rz,8,,Nutrients,7_48__424_02/10/2023_2023_MonMon_OWC_UP_RZ_Rz_8__Nutrients
7,49,,425,2/10/2023,44967,2023,2,10,MonMon,OWC,Stream,Stream,,,,Nutrients,7_49__425_02/10/2023_2023_MonMon_OWC__Stream____Nutrients
7,51,,426,2/21/2023,44978,2023,2,21,MonMon,CRC,W,PW,Sip,A,10,Nutrients,7_51__426_02/21/2023_2023_MonMon_CRC_W_PW_Sip_A_10_Nutrients
7,52,,427,2/21/2023,44978,2023,2,21,MonMon,CRC,W,PW,Sip,A,20,Nutrients,7_52__427_02/21/2023_2023_MonMon_CRC_W_PW_Sip_A_20_Nutrients
7,53,,428,2/21/2023,44978,2023,2,21,MonMon,CRC,W,PW,Sip,A,45,Nutrients,7_53__428_02/21/2023_2023_MonMon_CRC_W_PW_Sip_A_45_Nutrients
7,54,,429,2/21/2023,44978,2023,2,21,MonMon,CRC,W,PW,Sip,B,10,Nutrients,7_54__429_02/21/2023_2023_MonMon_CRC_W_PW_Sip_B_10_Nutrients
7,55,,430,2/21/2023,44978,2023,2,21,MonMon,CRC,W,PW,Sip,B,20,Nutrients,7_55__430_02/21/2023_2023_MonMon_CRC_W_PW_Sip_B_20_Nutrients
7,56,,431,2/21/2023,44978,2023,2,21,MonMon,CRC,W,PW,Sip,B,45,Nutrients,7_56__431_02/21/2023_2023_MonMon_CRC_W_PW_Sip_B_45_Nutrients
7,57,,432,2/21/2023,44978,2023,2,21,MonMon,CRC,W,PW,Sip,C,10,Nutrients,7_57__432_02/21/2023_2023_MonMon_CRC_W_PW_Sip_C_10_Nutrients
7,58,,433,2/21/2023,44978,2023,2,21,MonMon,CRC,W,PW,Sip,C,20,Nutrients,7_58__433_02/21/2023_2023_MonMon_CRC_W_PW_Sip_C_20_Nutrients
7,59,,434,2/21/2023,44978,2023,2,21,MonMon,CRC,W,PW,Sip,C,45,Nutrients,7_59__434_02/21/2023_2023_MonMon_CRC_W_PW_Sip_C_45_Nutrients
7,61,,435,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,PW,Lys,A,10,Nutrients,7_61__435_02/21/2023_2023_MonMon_CRC_TR_PW_Lys_A_10_Nutrients
7,62,,436,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,PW,Lys,A,20,Nutrients,7_62__436_02/21/2023_2023_MonMon_CRC_TR_PW_Lys_A_20_Nutrients
7,63,,437,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,PW,Lys,A,45,Nutrients,7_63__437_02/21/2023_2023_MonMon_CRC_TR_PW_Lys_A_45_Nutrients
7,64,,438,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,PW,Lys,B,10,Nutrients,7_64__438_02/21/2023_2023_MonMon_CRC_TR_PW_Lys_B_10_Nutrients
7,65,,439,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,PW,Lys,B,20,Nutrients,7_65__439_02/21/2023_2023_MonMon_CRC_TR_PW_Lys_B_20_Nutrients
7,66,,440,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,PW,Lys,B,45,Nutrients,7_66__440_02/21/2023_2023_MonMon_CRC_TR_PW_Lys_B_45_Nutrients
7,67,,441,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,PW,Lys,C,10,Nutrients,7_67__441_02/21/2023_2023_MonMon_CRC_TR_PW_Lys_C_10_Nutrients
7,68,,442,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,PW,Lys,C,20,Nutrients,7_68__442_02/21/2023_2023_MonMon_CRC_TR_PW_Lys_C_20_Nutrients
7,69,,443,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,PW,Lys,C,45,Nutrients,7_69__443_02/21/2023_2023_MonMon_CRC_TR_PW_Lys_C_45_Nutrients
7,71,,444,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,PW,Lys,A,10,Nutrients,7_71__444_02/21/2023_2023_MonMon_CRC_UP_PW_Lys_A_10_Nutrients
7,72,,445,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,PW,Lys,A,20,Nutrients,7_72__445_02/21/2023_2023_MonMon_CRC_UP_PW_Lys_A_20_Nutrients
7,74,,446,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,PW,Lys,B,10,Nutrients,7_74__446_02/21/2023_2023_MonMon_CRC_UP_PW_Lys_B_10_Nutrients
7,77,,447,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,PW,Lys,C,10,Nutrients,7_77__447_02/21/2023_2023_MonMon_CRC_UP_PW_Lys_C_10_Nutrients
7,78,,448,2/21/2023,44978,2023,2,21,MonMon,CRC,OW,OW,,A,,Nutrients,7_78__448_02/21/2023_2023_MonMon_CRC__OW__A__Nutrients
7,79,,449,2/21/2023,44978,2023,2,21,MonMon,CRC,OW,OW,,B,,Nutrients,7_79__449_02/21/2023_2023_MonMon_CRC__OW__B__Nutrients
7,80,,450,2/21/2023,44978,2023,2,21,MonMon,CRC,OW,OW,,C,,Nutrients,7_80__450_02/21/2023_2023_MonMon_CRC__OW__C__Nutrients
7,80,,451,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,RZ,Rz,1,,Nutrients,7_80__451_02/21/2023_2023_MonMon_CRC_TR_RZ_Rz_1__Nutrients
7,81,,452,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,RZ,Rz,2,,Nutrients,7_81__452_02/21/2023_2023_MonMon_CRC_TR_RZ_Rz_2__Nutrients
7,83,,453,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,RZ,Rz,3,,Nutrients,7_83__453_02/21/2023_2023_MonMon_CRC_TR_RZ_Rz_3__Nutrients
7,85,,454,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,RZ,Rz,5,,Nutrients,7_85__454_02/21/2023_2023_MonMon_CRC_TR_RZ_Rz_5__Nutrients
7,86,,455,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,RZ,Rz,6,,Nutrients,7_86__455_02/21/2023_2023_MonMon_CRC_TR_RZ_Rz_6__Nutrients
7,87,,456,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,RZ,Rz,7,,Nutrients,7_87__456_02/21/2023_2023_MonMon_CRC_TR_RZ_Rz_7__Nutrients
7,88,,457,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,RZ,Rz,8,,Nutrients,7_88__457_02/21/2023_2023_MonMon_CRC_TR_RZ_Rz_8__Nutrients
7,91,,458,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,RZ,Rz,1,,Nutrients,7_91__458_02/21/2023_2023_MonMon_CRC_UP_RZ_Rz_1__Nutrients
7,92,,459,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,RZ,Rz,2,,Nutrients,7_92__459_02/21/2023_2023_MonMon_CRC_UP_RZ_Rz_2__Nutrients
7,93,,460,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,RZ,Rz,3,,Nutrients,7_93__460_02/21/2023_2023_MonMon_CRC_UP_RZ_Rz_3__Nutrients
7,94,,461,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,RZ,Rz,4,,Nutrients,7_94__461_02/21/2023_2023_MonMon_CRC_UP_RZ_Rz_4__Nutrients
7,95,,462,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,RZ,Rz,5,,Nutrients,7_95__462_02/21/2023_2023_MonMon_CRC_UP_RZ_Rz_5__Nutrients
7,96,,463,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,RZ,Rz,6,,Nutrients,7_96__463_02/21/2023_2023_MonMon_CRC_UP_RZ_Rz_6__Nutrients
7,97,,464,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,RZ,Rz,7,,Nutrients,7_97__464_02/21/2023_2023_MonMon_CRC_UP_RZ_Rz_7__Nutrients
7,98,,465,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,RZ,Rz,8,,Nutrients,7_98__465_02/21/2023_2023_MonMon_CRC_UP_RZ_Rz_8__Nutrients
