"Plot_clean","Date","Month","Site","Zone","Replicate","Row_ID","TIMESTAMP","HM81_AIC","HM81_flux.estimate","HM81_p.value","HM81_r.squared","HM81_RMSE","lin_AIC","lin_flux.estimate","lin_flux.std.error","lin_int.estimate","lin_int.std.error","lin_p.value","lin_r.squared","lin_RMSE","poly_AIC","poly_r.squared","poly_RMSE","rob_AIC","rob_converged","rob_flux.estimate","rob_flux.std.error","rob_RMSE","TIMESTAMP_min","TIMESTAMP_max","CO2_initial","CO2_lin_pass","CO2_HM81_pass","CO2_poly_pass","CO2_neg_flux","CO2_rejected_model","CO2_rejected_negflux","CO2_flux_rejected","CO2_rejected_manual"
"2022-10-14_CRC_TR_309_71",2022-10-14,"Oct","CRC","TR",309,71,2022-10-14 10:44:29.5,NA,NA,NA,NA,NA,-2886.1458053443,0.00637483433985797,1.37941124668596e-05,14.9424820622054,0.00142755180393504,0,0.997487307334113,0.0166558124691017,-2934.84586873195,0.997720941900382,0.0158921471503366,-2885.89892096589,TRUE,0.0063816244772811,1.44682685364703e-05,0.0171061285125467,2022-10-14 10:43:00,2022-10-14 10:45:59,435.61884,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-14_CRC_TR_311_72",2022-10-14,"Oct","CRC","TR",311,72,2022-10-14 10:33:24.5,-345.052121523808,0.0052121689921763,6.61714464846568e-124,0.627513602753013,0.178151401565421,-2771.97438237538,0.00529865869698802,1.61858076144083e-05,14.404148681521,0.00176851706944762,0,0.994727829341946,0.0211947727561426,-2853.93305042139,0.995465850672717,0.0196900988516344,-2771.85345799672,TRUE,0.00529376501548135,1.63838074571384e-05,0.022151594654034,2022-10-14 10:31:50,2022-10-14 10:34:59,420.31625,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-14_CRC_TR_312_73",2022-10-14,"Oct","CRC","TR",312,73,2022-10-14 10:26:29.5,-39.8576587833214,0.00975108058051013,8.97589122688924e-129,0.661858403909981,0.232342189633746,-2118.67518722719,0.00764767069877564,2.80745314425404e-05,14.9652675920024,0.0029054314369059,0,0.992802004090373,0.0338988196586239,-2507.63128436192,0.996523221435463,0.0236034799556362,-2106.36833748263,TRUE,0.00772605124128146,2.6031894446455e-05,0.0312442419441599,2022-10-14 10:25:00,2022-10-14 10:27:59,430.10779,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-14_CRC_TR_313_74",2022-10-14,"Oct","CRC","TR",313,74,2022-10-14 11:19:44.5,443.866565866574,0.00847905594079583,5.37034578532677e-201,0.677955978766365,0.317456513618632,-3855.73677725095,0.00716263996032131,1.00698024216534e-05,14.3315527998345,0.00156536582036103,0,0.998405538641946,0.0223374514329465,-4315.16421360861,0.999100212509159,0.0168009855018405,-3854.83556453816,TRUE,0.00715955918902859,1.00379132806188e-05,0.0217688659019278,2022-10-14 11:17:30,2022-10-14 11:21:59,414.76917,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-14_CRC_TR_314_75",2022-10-14,"Oct","CRC","TR",314,75,2022-10-14 10:06:29.5,-578.44903991187,0.00444312732042684,2.76975031387396e-234,0.695799645431678,0.175078629112103,-4199.21321198713,0.00365137531104614,9.0153964664425e-06,17.7866696225711,0.00155760814829217,0,0.994555449266328,0.0234225569689821,-5016.65063622017,0.997814363710974,0.0148568380522723,-4198.35468876364,TRUE,0.00364475317330427,9.21927273874206e-06,0.0246554652588017,2022-10-14 10:04:00,2022-10-14 10:08:59,511.54135,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-14_CRC_TR_315_76",2022-10-14,"Oct","CRC","TR",315,76,2022-10-14 10:13:19.5,-814.741779641985,0.00380626129783518,3.78882248866316e-135,0.641011905179423,0.122307053327805,-3318.15541801915,0.00352003876083059,1.07380723665269e-05,14.8155935672195,0.00123527510021118,0,0.994465876698051,0.015185737749205,-3346.54730328326,0.99475672298986,0.014806088585983,-3318.13809804969,TRUE,0.00351871762675988,1.14634454212198e-05,0.0154209190061985,2022-10-14 10:11:40,2022-10-14 10:14:59,426.98724,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-14_CRC_TR_316_77",2022-10-14,"Oct","CRC","TR",316,77,2022-10-14 11:30:59.5,NA,NA,NA,NA,NA,-2478.26179978513,0.0123179543853721,2.32191766506344e-05,14.7334916122857,0.00320728754409517,0,0.997455313179355,0.0431648178511881,-2935.89841556219,0.998659764132022,0.0313696065447052,-2478.25066086045,TRUE,0.0123201784893755,2.3938069023493e-05,0.0557353789189869,2022-10-14 11:29:00,2022-10-14 11:32:59,427.48441,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-14_CRC_TR_327_78",2022-10-14,"Oct","CRC","TR",327,78,2022-10-14 11:00:59.5,-593.952721689177,0.0039254667806036,1.01052814680199e-163,0.645218455430907,0.159744191514829,-3515.22400109444,0.00385378214258327,1.1300713634434e-05,14.9428354327432,0.00156097860938219,0,0.993863951235867,0.0210082059738089,-3550.54407637043,0.994190062603998,0.0204708559831053,-3502.12270101724,TRUE,0.00382220043186116,9.19541223151351e-06,0.0159788897758071,2022-10-14 10:59:00,2022-10-14 11:02:59,434.74463,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-14_CRC_UP_301_63",2022-10-14,"Oct","CRC","UP",301,63,2022-10-14 13:14:29.5,43.0116901278271,0.0114502538870617,1.75016645560457e-132,0.672418406945567,0.250871816870759,-2200.47834435062,0.00839831405123807,2.60266014323228e-05,14.0456985125861,0.00269349129306246,0,0.99485962523554,0.0314260300331965,-2532.48368334244,0.997240929413659,0.0230665306294474,-2195.07258633815,TRUE,0.00834761779353539,2.42772413647477e-05,0.0281169018871248,2022-10-14 13:13:00,2022-10-14 13:15:59,410.56839,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-14_CRC_UP_302_64",2022-10-14,"Oct","CRC","UP",302,64,2022-10-14 13:20:29.5,-520.776375078494,0.00781576207653614,5.1470083902761e-285,0.765458694915053,0.18077904714873,-1997.58018150094,0.00420654132172531,3.06325538751834e-05,13.8939413753127,0.00529244783594219,0,0.954544283185292,0.079585267372054,-4016.70068881668,0.99519898708111,0.0258933967049026,-1957.97583381714,TRUE,0.0040441364270639,2.73661294559844e-05,0.0776244101033603,2022-10-14 13:18:00,2022-10-14 13:22:59,404.8353,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-14_CRC_UP_303_65",2022-10-14,"Oct","CRC","UP",303,65,2022-10-14 13:25:29.5,-508.54536751145,0.00799323883223696,3.81201238285037e-142,0.698399545428267,0.150541853162632,-1838.14036578908,0.00519761855670734,3.64017654663305e-05,13.725878102111,0.00376721634557695,0,0.974289738726398,0.0439536056131238,-2453.57236027348,0.991835512982218,0.0248150101049202,-1836.45237619724,TRUE,0.00515399729352079,3.88968737012111e-05,0.046074552094349,2022-10-14 13:24:00,2022-10-14 13:26:59,402.14539,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-14_CRC_UP_305_67",2022-10-14,"Oct","CRC","UP",305,67,2022-10-14 13:00:59.5,499.790151110867,0.0135639366253295,8.73029339983879e-124,0.647123208957324,0.382942611434193,-2633.95485588341,0.0123768423756871,1.7422317628364e-05,14.0640337678031,0.00180303452062273,0,0.998935093003946,0.0210367180847858,-2955.52442419129,0.999417262901483,0.0155907577489481,-2633.04082721981,TRUE,0.0123851859446404,1.71975422388988e-05,0.0193425310368715,2022-10-14 12:59:30,2022-10-14 13:02:29,413.18341,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-14_CRC_UP_306_68",2022-10-14,"Oct","CRC","UP",306,68,2022-10-14 12:55:44.5,-1706.67603511584,0.00203015399222566,2.68417956497125e-93,0.608606133507871,0.0361642314404353,-2386.64358837885,0.00127320535071821,1.84954135677123e-05,13.8081471367202,0.00159373881547902,2.20943036064025e-240,0.913626978413074,0.016988744643248,-2438.10178140766,0.923641836505555,0.0160092706600585,-2386.57643435744,TRUE,0.00126848510145378,1.96481384771366e-05,0.0178059026211012,2022-10-14 12:54:30,2022-10-14 12:56:59,406.3812,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-14_CRC_UP_307_69",2022-10-14,"Oct","CRC","UP",307,69,2022-10-14 12:31:14.5,NA,NA,NA,NA,NA,-1386.7352177067,-0.000647891772831428,4.31483694654385e-05,13.8425217196282,0.00222336253068322,2.13579118128979e-37,0.456900001947419,0.0184192247580182,-1419.83601068473,0.526627257581526,0.0172607494627232,-1386.68970604383,TRUE,-0.000649036040884381,4.25256220573337e-05,0.0205659673197742,2022-10-14 12:30:30,2022-10-14 12:31:59,407.04578,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"2022-10-14_CRC_UP_308_70",2022-10-14,"Oct","CRC","UP",308,70,2022-10-14 13:06:59.5,-3308.02068617127,0.00801513192658777,3.11720293444309e-179,0.678792224511621,0.0242594034407591,-3805.64754569831,0.000565153669328196,9.23668319958637e-06,14.0903464988187,0.00127587206990723,4.89513757800386e-287,0.839074781873451,0.0171711406419909,-3979.09933769261,0.87422696775954,0.0152015043736357,-3805.35404331555,TRUE,0.000567993451312665,9.79434898104341e-06,0.0183777060095858,2022-10-14 13:05:00,2022-10-14 13:08:59,413.43304,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-21_OWC_TR_120_55",2022-10-21,"Oct","OWC","TR",120,55,2022-10-21 12:32:59.5,1468.96411929132,0.00912997044975194,4.15765785879996e-278,0.692230453107651,0.476773594463248,-4224.2125741065,0.00825549555839385,1.0004770740066e-05,14.4696757293085,0.00207511985351671,0,0.998419262710305,0.0341687602222468,-5790.96728897611,0.999630834836131,0.0165277209922423,-4222.88979852386,TRUE,0.00825601933586574,1.03513599057074e-05,0.0387590932181414,2022-10-21 12:30:00,2022-10-21 12:35:59,426.13788,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-21_OWC_TR_121_56",2022-10-21,"Oct","OWC","TR",121,56,2022-10-21 13:47:59.5,1006.28627944641,0.00949470109540649,4.12060059877115e-302,0.722215142195603,0.38484437425206,-2589.58245784401,0.00698469155903066,2.13240438475176e-05,15.5346294820094,0.00442288463123272,0,0.990052325241895,0.0728268703126425,-5391.30050247579,0.999259587819485,0.019887073563518,-2589.45158771348,TRUE,0.00698938550860487,2.22032477488904e-05,0.0965299208783549,2022-10-21 13:45:00,2022-10-21 13:50:59,456.24051,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-21_OWC_TR_122_57",2022-10-21,"Oct","OWC","TR",122,57,2022-10-21 13:12:29.5,3439.15417410553,0.00618389861893072,0,0.751080547818349,0.504124988644962,-5365.64437861638,0.00447260729291522,7.05276275636266e-06,14.2915089815646,0.00317303919206335,0,0.994220050563257,0.0768193851068695,-12741.9293745515,0.999753297719706,0.0158774671559291,-5358.49897695977,TRUE,0.00446300253231021,7.12588380383066e-06,0.088993029795506,2022-10-21 13:06:00,2022-10-21 13:18:59,414.94882,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-21_OWC_TR_123_58",2022-10-21,"Oct","OWC","TR",123,58,2022-10-21 13:00:29.5,530.884108727437,0.00697149891708569,1.06003913580181e-221,0.675533621669103,0.324255367263337,-4641.85134722557,0.00656245120187362,7.04997280299256e-06,14.9912277905351,0.00121803795585182,0,0.998964692918164,0.0183162648722678,-4942.97195068396,0.999262378761132,0.0154775848297415,-4641.49695347983,TRUE,0.00655828666061927,7.3539485709797e-06,0.0192906373826621,2022-10-21 12:58:00,2022-10-21 13:02:59,442.03397,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-21_OWC_TR_124_59",2022-10-21,"Oct","OWC","TR",124,59,2022-10-21 13:26:59.5,2218.6690927195,0.00866160809127575,0,0.718632790204084,0.522068889991366,-3884.7911841947,0.00708363569176766,1.19265616667066e-05,15.1153005501625,0.0033000209209266,0,0.995940147952469,0.0627113537471931,-7399.55666346947,0.999647406910156,0.0184939719211657,-3877.31232469908,TRUE,0.00710611285588498,1.28108182410789e-05,0.0685619907149447,2022-10-21 13:23:00,2022-10-21 13:30:59,443.35062,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-21_OWC_TR_126_60",2022-10-21,"Oct","OWC","TR",126,60,2022-10-21 12:10:59.5,-329.314090829637,0.00574458542610406,4.1223618956326e-176,0.672301150792744,0.191972198053408,-3474.82990555511,0.004823660949573,1.16222031403502e-05,14.4704715896953,0.00160538626876636,0,0.995849108713247,0.0216058600669208,-3993.54802898451,0.997991625506025,0.0150497379864841,-3472.86106404621,TRUE,0.00483891035453402,1.16603982451916e-05,0.0207360282763092,2022-10-21 12:09:00,2022-10-21 12:12:59,424.75146,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-21_OWC_TR_127_61",2022-10-21,"Oct","OWC","TR",127,61,2022-10-21 13:38:59.5,543.990855752225,0.00866248284865589,6.5818290828241e-167,0.65238983851519,0.352063771490983,-3767.3178646479,0.00860329417278313,9.48584506391645e-06,14.9002580663371,0.00131028904153174,0,0.999127896484863,0.0176343365016502,-3925.00780583252,0.999303311243191,0.0157833874344675,-3767.29472754618,TRUE,0.00860245303817546,9.80474766676734e-06,0.0177661633073678,2022-10-21 13:37:00,2022-10-21 13:40:59,442.24741,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-21_OWC_TR_128_62",2022-10-21,"Oct","OWC","TR",128,62,2022-10-21 12:19:59.5,2289.92757522441,0.0137823814138861,4.76327059102088e-280,0.694770778764889,0.697231440158502,-3443.87387943659,0.0121233629848919,1.43583257764034e-05,14.6511914712494,0.00297810391222207,0,0.998490184257737,0.0490372246794329,-5921.26271531543,0.999848261196918,0.0155602109317208,-3441.00201937065,TRUE,0.0121183500915552,1.49728400687949e-05,0.0530897232917491,2022-10-21 12:17:00,2022-10-21 12:22:59,428.19778,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-21_OWC_UP_102_48",2022-10-21,"Oct","OWC","UP",102,48,2022-10-21 14:04:59.5,1435.62201129267,0.018102651655551,2.35170568587674e-174,0.66859152678114,0.653930208320254,-2605.19086688645,0.016363103777123,2.12601266804523e-05,15.6891166045103,0.00293668205871706,0,0.998789405496646,0.0395229128690847,-3987.72553052186,0.999823534700325,0.015110713313593,-2599.3317633669,TRUE,0.0164025669252664,2.26890761763217e-05,0.0405089339043987,2022-10-21 14:03:00,2022-10-21 14:06:59,463.13663,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-21_OWC_UP_103_49",2022-10-21,"Oct","OWC","UP",103,49,2022-10-21 14:24:14.5,951.100871466278,0.0150933518672714,4.92411475578411e-147,0.654436275918887,0.513108143478572,-3083.21274362295,0.0143716414989663,1.37206627697839e-05,14.9041710490423,0.00165759954785791,0,0.999427930812944,0.0208770491021946,-3377.83281880489,0.999643882824585,0.0164981006889369,-3081.3126758492,TRUE,0.0143617725159351,1.3894904224276e-05,0.0199091463306923,2022-10-21 14:22:30,2022-10-21 14:25:59,440.26224,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-21_OWC_UP_104_50",2022-10-21,"Oct","OWC","UP",104,50,2022-10-21 14:46:29.5,104.644864630811,0.00890932907839191,7.62480023693153e-122,0.641216806099435,0.265604901824592,-2879.16680073769,0.00851193975234791,1.38835392198465e-05,14.2521419996662,0.00143680657279771,0,0.998570762434287,0.0167637915240099,-2939.76698740564,0.998731910856556,0.0158198978601201,-2878.75342863951,TRUE,0.00851318444340716,1.40171940537735e-05,0.016173715071653,2022-10-21 14:45:00,2022-10-21 14:47:59,421.86285,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-21_OWC_UP_105_51",2022-10-21,"Oct","OWC","UP",105,51,2022-10-21 14:39:14.5,1316.32880997407,0.0250335262247581,3.89084067896338e-157,0.679091871186916,0.685638192365124,-1322.76745640233,0.0198852654526628,5.54832807348853e-05,14.5410486038667,0.00670296053499375,0,0.99513477391434,0.0844221008626457,-2882.27175632297,0.999593283814855,0.0244479824482149,-1322.76575647467,TRUE,0.0198871059264157,5.6356346460936e-05,0.107284144823406,2022-10-21 14:37:30,2022-10-21 14:40:59,426.60873,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-21_OWC_UP_106_52",2022-10-21,"Oct","OWC","UP",106,52,2022-10-21 14:52:29.096345,611.812043866456,0.00946451807925701,8.83035365111874e-237,0.698461682356993,0.338786289210063,-3880.35478254044,0.00709739820362359,1.08047705714222e-05,13.8526846491058,0.0018637399701779,0,0.997916221140776,0.0281630953835193,-4623.76757274751,0.999089277148316,0.0186393274881084,-3862.83358215189,TRUE,0.00706297834336574,9.17770860925716e-06,0.0235714292504739,2022-10-21 14:50:00,2022-10-21 14:54:59,404.64587,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-21_OWC_UP_107_53",2022-10-21,"Oct","OWC","UP",107,53,2022-10-21 14:14:29.5,1302.48858571695,0.0138227061775773,2.87095136189459e-239,0.703473264065876,0.497801065225661,-2276.97090964265,0.0105148396581661,2.62284899962738e-05,14.8711574334874,0.00453154887726381,0,0.994443545810668,0.0681432373423417,-3725.8327905957,0.998894089264805,0.030434634708059,-2276.25628054908,TRUE,0.0104934788175755,2.77837069641101e-05,0.0778386894946644,2022-10-21 14:12:00,2022-10-21 14:16:59,435.72589,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-21_OWC_UP_108_54",2022-10-21,"Oct","OWC","UP",108,54,2022-10-21 14:31:59.5,-303.038624845395,0.00506744316664411,7.93992888424164e-170,0.6588316213327,0.195507239829514,-4010.25542705075,0.00481977814253051,8.01323102482902e-06,13.7287433819624,0.00110687542631659,0,0.998019273078873,0.0148967236345473,-4118.16966284007,0.998304415582289,0.0138020589487495,-4009.77825056365,TRUE,0.00481880105734167,8.16202315990565e-06,0.0152177065930444,2022-10-21 14:30:00,2022-10-21 14:33:59,407.24164,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-07_PTR_TR_1_87",2022-10-07,"Oct","PTR","TR",1,87,2022-10-07 12:57:59.5,NA,NA,NA,NA,NA,-3788.14487976414,0.000968798046723059,9.34963672167377e-06,13.8350639118019,0.00129147445021138,0,0.937319147082109,0.0173811230319746,-3954.08124490835,0.950496998924489,0.0154679179688369,-3787.91976315622,TRUE,0.000964883155337015,9.70368468061812e-06,0.0185472855918294,2022-10-07 12:56:00,2022-10-07 12:59:59,398.54031,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-07_PTR_TR_2_88",2022-10-07,"Oct","PTR","TR",2,88,2022-10-07 11:45:59.5,NA,NA,NA,NA,NA,-3492.08080992181,0.00618580879453537,1.14838021954498e-05,16.5518118803868,0.00158626881109984,0,0.997531520668656,0.021348570514111,-3527.585297514,0.997663311019313,0.0207998507602853,-3490.666478721,TRUE,0.0061740459197846,1.11721957456148e-05,0.0195317969059844,2022-10-07 11:44:00,2022-10-07 11:47:59,477.1391,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-07_PTR_TR_3_89",2022-10-07,"Oct","PTR","TR",3,89,2022-10-07 11:39:59.5,-199.126974190974,0.00541075335631761,1.2579316230616e-169,0.65839436167413,0.210136701745177,-3818.00955525507,0.00517643899409067,9.15772816743318e-06,13.7736236464036,0.00126496593421694,0,0.997757859117861,0.0170243619843061,-3873.58461540541,0.997935912951719,0.0163572055650693,-3817.92774447015,TRUE,0.00517824378145,9.24522651864182e-06,0.0179914307315887,2022-10-07 11:38:00,2022-10-07 11:41:59,395.8288,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-07_PTR_TR_4_90",2022-10-07,"Oct","PTR","TR",4,90,2022-10-07 11:32:59.5,NA,NA,NA,NA,NA,-2765.2748672094,0.00344830465832644,1.90232875057185e-05,13.7121292451108,0.00262770527925524,0,0.978615629158427,0.0353645933475719,-3244.9156609607,0.989076275364006,0.0253111287462785,-2764.38072272397,TRUE,0.00345997295868667,2.03326655697723e-05,0.0371829577163443,2022-10-07 11:31:00,2022-10-07 11:34:59,396.14044,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-07_PTR_TR_5_91",2022-10-07,"Oct","PTR","TR",5,91,2022-10-07 11:25:59.5,NA,NA,NA,NA,NA,-3343.39712643779,0.00278427705935346,1.27329114694675e-05,14.0680322938613,0.00175880949486526,0,0.985206120189045,0.0236706844762237,-3545.59902884408,0.988890261813106,0.0205412749891852,-3343.18405183782,TRUE,0.00278982862651972,1.32687310079046e-05,0.0258390909094314,2022-10-07 11:24:00,2022-10-07 11:27:59,404.57703,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2022-10-07_PTR_TR_6_92",2022-10-07,"Oct","PTR","TR",6,92,2022-10-07 12:12:29.5,31.7617297544258,0.00805664831133421,5.27095501622718e-252,0.722213604622061,0.245731915025262,-2387.89749664421,0.00532665831264163,2.46609332754904e-05,14.6199156298166,0.00426071895533073,0,0.981115486307399,0.0640706281419225,-4618.21805808471,0.998422622270738,0.0185377958422602,-2385.90440982859,TRUE,0.00535168562465748,2.54318539133631e-05,0.0771898065256309,2022-10-07 12:10:00,2022-10-07 12:14:59,417.79251,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
